source_row_index,group_name,group_id,product_name,module_name,option_name,option_id,skus,qty,option_price
8,Group 1,6462871.1.1,PowerEdge R770  - Full Configuration - [EMEA_R770],,,,,0,0.0
50,Group 1,6462871.1.1,PowerEdge R570 - Full Configuration - [EMEA_R570],,,,,0,0.0
91,Group 1,6462871.1.1,"Broadcom 57504 Quad Port 10/25GbE,SFP28, OCP NIC 3.0 Customer Install - [G0T2H1J]",,,,,0,0.0
93,Group 1,6462871.1.1,"Single, Hot-Plug MHS Power Supply, 1500W,Titanium, Customer Kit - [GECKNJ2]",,,,,0,0.0
95,Group 1,6462871.1.1,"800G Data Center NVMe Mixed Use AG Drive U2 with carrier, Customer Kit - [GBNR6MG]",,,,,0,0.0
97,Group 1,6462871.1.1,"PERC H965i Controller, Front, DC-MHS, CK - [GJY2RPD]",,,,,0,0.0
99,Group 1,6462871.1.1,"Intel® Xeon® 6 Performance 6737P 2.9G, 32C/64T, 24GT/s, 144M Cache, Turbo, (270W) DDR5-6400,Cust KIT - [GD7FALO]",,,,,0,0.0
101,Group 1,6462871.1.1,"Intel® Xeon® 6 Performance 6511P 2.5G, 16C/32T, 72M Cache, Turbo, (150W) DDR5-6400,Cust KIT - [GZ37GYR]",,,,,0,0.0
103,Group 1,6462871.1.1,"HBA465e Adapter Full Height/Low Profile, Customer Kit - [GYQJ98N]",,,,,0,0.0
105,Group 1,6462871.1.1,"SC Cable, SFP28 to SFP28, 25GbE, Passive Copper Twinax Direct Attach Cable, 3 Meter, Cus Kit - [GJW8VU2]",,,,,0,0.0
107,,,,,,,,0,0.0
108,,,,,,,,0,0.0
109,,,,,,,,0,0.0
