source_row_index,group_name,group_id,product_name,module_name,option_name,option_id,skus,qty,option_price
8,Group 1,6544672.1.1,PowerEdge R660 - Detect,,,,,0,0.0
54,Group 1,6544672.1.1,PowerEdge R660 - Coding,,,,,0,0.0
100,Group 1,6544672.1.1,PowerEdge R660 - Admin,,,,,0,0.0
147,Group 1,6544672.1.1,PowerEdge R660 - Processing SRVI,,,,,0,0.0
194,Group 1,6544672.1.1,PowerEdge R660 - Processing ORD,,,,,0,0.0
241,Group 1,6544672.1.1,PowerEdge R660 - Video Search and GIS Subsystem,,,,,0,0.0
288,Group 1,6544672.1.1,PowerEdge R660 - Task Setting System SPZ,,,,,0,0.0
336,Group 1,6544672.1.1,PowerEdge R660 - Type1,,,,,0,0.0
381,,,,,,,,0,0.0
382,,,,,,,,0,0.0
383,,,,,,,,0,0.0
